Label,P6:string,P5:string,P7:url,P2:wikibase-item,P3:wikibase-item,Description
Judy Garland,Judy_Garland,http://dbpedia.org/resource/Judy_Garland,https://linkedjazz.org/image/square/Judy_Garland.png,Q3,Q6,
Dexter Gordon,Dexter_Gordon,http://dbpedia.org/resource/Dexter_Gordon,https://linkedjazz.org/image/square/Dexter_Gordon.png,Q3,Q6,
Paul Robeson,Paul_Robeson,http://dbpedia.org/resource/Paul_Robeson,https://linkedjazz.org/image/square/Paul_Robeson.png,Q3,Q6,
Tommy LiPuma,Tommy_LiPuma,http://dbpedia.org/resource/Tommy_LiPuma,https://linkedjazz.org/image/square/Tommy_LiPuma.png,Q3,Q6,
Jimmie Lunceford,Jimmie_Lunceford,http://dbpedia.org/resource/Jimmie_Lunceford,https://linkedjazz.org/image/square/Jimmie_Lunceford.png,Q3,Q6,
Ella Fitzgerald,Ella_Fitzgerald,http://dbpedia.org/resource/Ella_Fitzgerald,https://linkedjazz.org/image/square/Ella_Fitzgerald.png,Q3,Q6,
James Brown,James_Brown,http://dbpedia.org/resource/James_Brown,https://linkedjazz.org/image/square/James_Brown.png,Q3,Q6,
Mary Ann Fisher,Mary_Ann_Fisher,,https://linkedjazz.org/image/square/Mary_Ann_Fisher.png,Q3,Q6,
Marty Paich,Marty_Paich,http://dbpedia.org/resource/Marty_Paich,https://linkedjazz.org/image/square/Marty_Paich.png,Q3,Q6,
Willard Alexander,Willard_Alexander,,https://linkedjazz.org/image/square/Willard_Alexander.png,Q3,Q6,
Woody Herman,Woody_Herman,http://dbpedia.org/resource/Woody_Herman,https://linkedjazz.org/image/square/Woody_Herman.png,Q3,Q6,
Charlie Shavers,Charlie_Shavers,http://dbpedia.org/resource/Charlie_Shavers,https://linkedjazz.org/image/square/Charlie_Shavers.png,Q3,Q6,
Harry Belafonte,Harry_Belafonte,http://dbpedia.org/resource/Harry_Belafonte,https://linkedjazz.org/image/square/Harry_Belafonte.png,Q3,Q6,
Russell Garcia,Russell_Garcia,http://dbpedia.org/resource/Russell_Garcia_(composer),https://linkedjazz.org/image/square/Russell_Garcia_(composer).png,Q3,Q6,
Johnny Richards,Johnny_Richards,http://dbpedia.org/resource/Johnny_Richards,https://linkedjazz.org/image/square/Johnny_Richards.png,Q3,Q6,
George Gershwin,George_Gershwin,http://dbpedia.org/resource/George_Gershwin,https://linkedjazz.org/image/square/George_Gershwin.png,Q3,Q6,
Ray Noble,Ray_Noble,http://dbpedia.org/resource/Ray_Noble,https://linkedjazz.org/image/square/Ray_Noble.png,Q3,Q6,
Albert Raymond Streit,Albert_Raymond_Streit,,https://linkedjazz.org/image/square/Albert_Raymond_Streit.png,Q3,Q6,
Gus Johnson,Gus_Johnson,http://dbpedia.org/resource/Gus_Johnson_(jazz_musician),https://linkedjazz.org/image/square/Gus_Johnson_(jazz_musician).png,Q3,Q6,
Norman Granz,Norman_Granz,http://dbpedia.org/resource/Norman_Granz,https://linkedjazz.org/image/square/Norman_Granz.png,Q3,Q6,
Ted Fiorito,Ted_Fiorito,http://dbpedia.org/resource/Ted_Fio_Rito,https://linkedjazz.org/image/square/Ted_Fio_Rito.png,Q3,Q6,
Bix Beiderbecke,Bix_Beiderbecke,http://dbpedia.org/resource/Bix_Beiderbecke,https://linkedjazz.org/image/square/Bix_Beiderbecke.png,Q3,Q6,
Stan Kenton,Stan_Kenton,http://dbpedia.org/resource/Stan_Kenton,https://linkedjazz.org/image/square/Stan_Kenton.png,Q3,Q6,
